
変数情報		
変数	位置	ラベル
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
hhlwgl09	0	回答なし
	1	配偶者の祖父母
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
hhlwsb09	0	回答なし
	1	あなたの兄姉弟妹
	9999	無回答
hhlwsl09	0	回答なし
	1	配偶者の兄姉弟妹
	9999	無回答
hhlwcs09	0	回答なし
	1	あなたの子どもの夫・妻
	9999	無回答
hhlwgc09	0	回答なし
	1	あなたの孫
	9999	無回答
hhlwne	0	回答なし
	1	あなたのおい・めい
	9999	無回答
hhlwnl	0	回答なし
	1	配偶者のおい・めい
	9999	無回答
hhlwua	0	回答なし
	1	あなたのおじ・おば
	9999	無回答
hhlwul	0	回答なし
	1	配偶者のおじ・おば
	9999	無回答
hhlwor	0	回答なし
	1	その他の親族の方
	9999	無回答
hhlwot	0	回答なし
	1	親族以外の方
	9999	無回答
hhlwss	0	回答なし
	1	兄弟姉妹の配偶者
	9999	無回答
hhhead	1	あなた自身
	2	あなたの夫・妻（内縁も含む）
	3	あなたの子ども
	4	あなたのお父さん
	5	あなたのお母さん
	6	あなたのお義父さん
	7	あなたのお義母さん
	8	あなたの祖父母
	9	配偶者の祖父母
	10	あなたの兄姉弟妹
	11	配偶者の兄姉弟妹
	12	あなたの子どもの夫・妻
	13	あなたの孫
	14	あなたのおい・めい
	15	配偶者のおい・めい
	16	あなたのおじ・おば
	17	配偶者のおじ・おば
	18	その他の親族の方
	19	親族以外の方
	9999	無回答
rpbtco	3645	63-72歳（1936-45)
	4655	53-62歳（1946-55）
	5665	43-52歳（1956-65）
	6675	33-42歳（1966-75）
	7680	28-32歳（1976-80）
	8888	非該当
	9999	無回答
metpq10	1	有配偶票（w2-4）
	2	有配偶票（w2-4）
	3	若年票（w1）
	4	壮年票（w1）
	5	高年票（w1）
	6	共通票（w5）
rppref10	1	北海道
	2	青森県
	3	岩手県
	4	宮城県
	5	秋田県
	6	山形県
	7	福島県
	8	茨城県
	9	栃木県
	10	群馬県
	11	埼玉県
	12	千葉県
	13	東京都
	14	神奈川県
	15	新潟県
	16	富山県
	17	石川県
	18	福井県
	19	山梨県
	20	長野県
	21	岐阜県
	22	静岡県
	23	愛知県
	24	三重県
	25	滋賀県
	26	京都府
	27	大阪府
	28	兵庫県
	29	奈良県
	30	和歌山県
	31	鳥取県
	32	島根県
	33	岡山県
	34	広島県
	35	山口県
	36	徳島県
	37	香川県
	38	愛媛県
	39	高知県
	40	福岡県
	41	佐賀県
	42	長崎県
	43	熊本県
	44	大分県
	45	宮崎県
	46	鹿児島県
	47	沖縄県
	99	海外
rpctsz10	1	１９大市
	2	１０万人以上の市
	3	その他
	9	海外
rpdid10	1	人口集中地区
	2	非人口集中地区
	9	海外
rpsex10	1	男性
	2	女性
	9999	無回答
rpbtyr10	1	１年
	2	２年
	3	３年
	4	４年
	5	５年
	6	６年
	7	７年
	8	８年
	9	９年
	10	１０年
	11	１１年
	12	１２年
	13	１３年
	14	１４年
	15	１５年
	16	１６年
	17	１７年
	18	１８年
	19	１９年
	20	２０年
	21	２１年
	22	２２年
	23	２３年
	24	２４年
	25	２５年
	26	２６年
	27	２７年
	28	２８年
	29	２９年
	30	３０年
	31	３１年
	32	３２年
	33	３３年
	34	３４年
	35	３５年
	36	３６年
	37	３７年
	38	３８年
	39	３９年
	40	４０年
	41	４１年
	42	４２年
	43	４３年
	44	４４年
	45	４５年
	46	４６年
	47	４７年
	48	４８年
	49	４９年
	50	５０年
	51	５１年
	52	５２年
	53	５３年
	54	５４年
	55	５５年
	9999	無回答
rpbtmt10	1	１月
	2	２月
	3	３月
	4	４月
	5	５月
	6	６月
	7	７月
	8	８月
	9	９月
	10	１０月
	11	１１月
	12	１２月
	9999	無回答
rpage10	28	２８歳
	29	２９歳
	30	３０歳
	31	３１歳
	32	３２歳
	33	３３歳
	34	３４歳
	35	３５歳
	36	３６歳
	37	３７歳
	38	３８歳
	39	３９歳
	40	４０歳
	41	４１歳
	42	４２歳
	43	４３歳
	44	４４歳
	45	４５歳
	46	４６歳
	47	４７歳
	48	４８歳
	49	４９歳
	50	５０歳
	51	５１歳
	52	５２歳
	53	５３歳
	54	５４歳
	55	５５歳
	56	５６歳
	57	５７歳
	58	５８歳
	59	５９歳
	60	６０歳
	61	６１歳
	62	６２歳
	63	６３歳
	64	６４歳
	65	６５歳
	66	６６歳
	67	６７歳
	68	６８歳
	69	６９歳
	70	７０歳
	71	７１歳
	72	７２歳
	73	７３歳
	74	７４歳
	75	７５歳
	76	７６歳
	77	７７歳
	78	７８歳
	79	７９歳
	80	８０歳
	9999	無回答
rpatk110	1	良いことだ
	2	まあ良いことだ
	3	あまり良いことではない
	4	良いことではない
	9999	無回答
rpatk210	1	良いことだ
	2	まあ良いことだ
	3	あまり良いことではない
	4	良いことではない
	9999	無回答
rpatk310	1	良いことだ
	2	まあ良いことだ
	3	あまり良いことではない
	4	良いことではない
	9999	無回答
rpatk410	1	良いことだ
	2	まあ良いことだ
	3	あまり良いことではない
	4	良いことではない
	9999	無回答
rpatk510	1	良いことだ
	2	まあ良いことだ
	3	あまり良いことではない
	4	良いことではない
	9999	無回答
rpats110	1	そう思う
	2	どちらかといえばそう思う
	3	どちらかといえばそう思わない
	4	そう思わない
	9999	無回答
rpats210	1	そう思う
	2	どちらかといえばそう思う
	3	どちらかといえばそう思わない
	4	そう思わない
	9999	無回答
rpats310	1	そう思う
	2	どちらかといえばそう思う
	3	どちらかといえばそう思わない
	4	そう思わない
	9999	無回答
rpats410	1	そう思う
	2	どちらかといえばそう思う
	3	どちらかといえばそう思わない
	4	そう思わない
	9999	無回答
rpats510	1	そう思う
	2	どちらかといえばそう思う
	3	どちらかといえばそう思わない
	4	そう思わない
	9999	無回答
rpats610	1	そう思う
	2	どちらかといえばそう思う
	3	どちらかといえばそう思わない
	4	そう思わない
	9999	無回答
rpevl110	0	回答なし
	1	引っ越しをした
	9999	無回答
rpevl210	0	回答なし
	1	持ち家を購入したり相続したりした
	9999	無回答
rpevl310	0	回答なし
	1	あなたが定年をむかえた
	9999	無回答
rpevl410	0	回答なし
	1	配偶者が定年をむかえた
	9999	無回答
rpevl510	0	回答なし
	1	新しい子どもができた（養子や再婚による場合を含む）
	9999	無回答
rpevl610	0	回答なし
	1	孫が産まれた
	9999	無回答
rpevl710	0	回答なし
	1	あなたが離婚した
	9999	無回答
rpevl810	0	回答なし
	1	配偶者が亡くなった
	9999	無回答
rpevl910	0	回答なし
	1	あなたの親が亡くなった
	9999	無回答
rpevla10	0	回答なし
	1	配偶者の親が亡くなった
	9999	無回答
rpevlb10	0	回答なし
	1	あなたの子どもが亡くなった
	9999	無回答
rpevlc10	0	回答なし
	1	その他の家族や親類が亡くなった
	9999	無回答
rpevld10	0	回答なし
	1	あてはまるものはない
	9999	無回答
rpevln10	1	１人
	2	２人
	3	３人
	4	４人
	5	５人
	6	６人
	7	７人
	8	８人
	9	９人
	10	１０人
	8888	非該当
	9999	無回答
rpevc110	0	回答なし
	1	引っ越しをした
	9999	無回答
rpevc210	0	回答なし
	1	持ち家を購入したり相続したりした
	9999	無回答
rpevc310	0	回答なし
	1	あなたが定年をむかえた
	9999	無回答
rpevc410	0	回答なし
	1	配偶者が定年をむかえた
	9999	無回答
rpevc510	0	回答なし
	1	新しい子どもができた（養子や再婚による場合を含む）
	9999	無回答
rpevc610	0	回答なし
	1	孫が産まれた
	9999	無回答
rpevc710	0	回答なし
	1	あなたが離婚した
	9999	無回答
rpevc810	0	回答なし
	1	配偶者が亡くなった
	9999	無回答
rpevc910	0	回答なし
	1	あなたの親が亡くなった
	9999	無回答
rpevca10	0	回答なし
	1	配偶者の親が亡くなった
	9999	無回答
rpevcb10	0	回答なし
	1	あなたの子どもが亡くなった
	9999	無回答
rpevcc10	0	回答なし
	1	その他の家族や親類が亡くなった
	9999	無回答
rpevcd10	0	回答なし
	1	あてはまるものはない
	9999	無回答
rpevcn10	1	１人
	2	２人
	3	３人
	4	４人
	5	５人
	6	６人
	7	７人
	8	８人
	9	９人
	10	１０人
	8888	非該当
	9999	無回答
rpevx110	0	なかった
	1	あった
	8888	非該当（前年調査非回収）
	9999	無回答
rpevx210	0	なかった
	1	あった
	8888	非該当（前年調査非回収）
	9999	無回答
rpevx310	0	なかった
	1	あった
	8888	非該当（前年調査非回収）
	9999	無回答
rpevx410	0	なかった
	1	あった
	8888	非該当（前年調査非回収）
	9999	無回答
rpevx510	0	なかった
	1	あった
	8888	非該当（前年調査非回収）
	9999	無回答
rpevx610	0	なかった
	1	あった
	8888	非該当（前年調査非回収）
	9999	無回答
rpevx710	0	なかった
	1	あった
	8888	非該当（前年調査非回収）
	9999	無回答
rpevx810	0	なかった
	1	あった
	8888	非該当（前年調査非回収）
	9999	無回答
rpevx910	0	なかった
	1	あった
	8888	非該当（前年調査非回収）
	9999	無回答
rpevxa10	0	なかった
	1	あった
	8888	非該当（前年調査非回収）
	9999	無回答
rpevxb10	0	なかった
	1	あった
	8888	非該当（前年調査非回収）
	9999	無回答
rpevxc10	0	なかった
	1	あった
	8888	非該当（前年調査非回収）
	9999	無回答
rpwkst10	1	ついている
	2	ついているが休職中
	3	ついていないが仕事を探している（w2-4）
	4	ついていない（仕事は探していない）（w2-4）
	5	今はついていないが、過去についていた（w1）
	6	仕事についたことはない（w1）
	7	仕事を探しているかは不明だが無職（追加コード）
	9999	無回答
rpwkdy10	0	０日
	1	１日
	2	２日
	3	３日
	4	４日
	5	５日
	6	６日
	7	７日
	8	８日
	9	９日
	10	１０日
	11	１１日
	12	１２日
	13	１３日
	14	１４日
	15	１５日
	16	１６日
	17	１７日
	18	１８日
	19	１９日
	20	２０日
	21	２１日
	22	２２日
	23	２３日
	24	２４日
	25	２５日
	26	２６日
	27	２７日
	28	２８日
	8888	非該当
	9999	無回答
rpwkhr10	0	０時間
	1	１時間
	2	２時間
	3	３時間
	4	４時間
	5	５時間
	6	６時間
	7	７時間
	8	８時間
	9	９時間
	10	１０時間
	11	１１時間
	12	１２時間
	13	１３時間
	14	１４時間
	15	１５時間
	16	１６時間
	17	１７時間
	18	１８時間
	19	１９時間
	20	２０時間
	21	２１時間
	22	２２時間
	23	２３時間
	24	２４時間
	8888	非該当
	9999	無回答
rpwkmi10	0	０分
	1	１分
	2	２分
	3	３分
	4	４分
	5	５分
	6	６分
	7	７分
	8	８分
	9	９分
	10	１０分
	11	１１分
	12	１２分
	13	１３分
	14	１４分
	15	１５分
	16	１６分
	17	１７分
	18	１８分
	19	１９分
	20	２０分
	21	２１分
	22	２２分
	23	２３分
	24	２４分
	25	２５分
	26	２６分
	27	２７分
	28	２８分
	29	２９分
	30	３０分
	31	３１分
	32	３２分
	33	３３分
	34	３４分
	35	３５分
	36	３６分
	37	３７分
	38	３８分
	39	３９分
	40	４０分
	41	４１分
	42	４２分
	43	４３分
	44	４４分
	45	４５分
	46	４６分
	47	４７分
	48	４８分
	49	４９分
	50	５０分
	51	５１分
	52	５２分
	53	５３分
	54	５４分
	55	５５分
	56	５６分
	57	５７分
	58	５８分
	59	５９分
	8888	非該当
	9999	無回答
rpwlb110	1	あてはまる
	2	まああてはまる
	3	あまりあてはまらない
	4	ほとんどあてはまらない
	8888	非該当
	9999	無回答
rpwlb210	1	あてはまる
	2	まああてはまる
	3	あまりあてはまらない
	4	ほとんどあてはまらない
	8888	非該当
	9999	無回答
rpwlb310	1	あてはまる
	2	まああてはまる
	3	あまりあてはまらない
	4	ほとんどあてはまらない
	8888	非該当
	9999	無回答
rpwlb410	1	あてはまる
	2	まああてはまる
	3	あまりあてはまらない
	4	ほとんどあてはまらない
	8888	非該当
	9999	無回答
rpcjb10	1	新しい勤め先に就職・転職した（出向などを含む）
	2	同じ勤め先で、働き方（常時雇用・パートなど）や勤務地が変わっ
	3	そのような変化はない
	8888	非該当
	9999	無回答
rpest10	1	経営者・役員
	2	常時雇用されている一般従業者（公務員を含む）
	3	臨時雇い・パート・アルバイト
	4	派遣社員・契約社員・嘱託社員
	5	自営業主・自由業者
	6	自営業の家族従業者
	7	内職
	8888	非該当
	9999	無回答
rpmrst10	1	現在、配偶者がいる
	2	いない（離別した）
	3	いない（死別した）
	4	いない（結婚したことはない）
	9999	無回答
spwkst10	1	ついている
	2	ついているが休職中
	3	ついていないが仕事を探している（w2-4）
	4	ついていない（仕事は探していない）（w2-4）
	5	今はついていないが、過去についていた（w1）
	6	仕事についたことはない（w1）
	7	仕事を探しているかは不明だが無職（追加コード）
	8888	非該当
	9999	無回答
spwkdy10	0	０日
	1	１日
	2	２日
	3	３日
	4	４日
	5	５日
	6	６日
	7	７日
	8	８日
	9	９日
	10	１０日
	11	１１日
	12	１２日
	13	１３日
	14	１４日
	15	１５日
	16	１６日
	17	１７日
	18	１８日
	19	１９日
	20	２０日
	21	２１日
	22	２２日
	23	２３日
	24	２４日
	25	２５日
	26	２６日
	27	２７日
	28	２８日
	8888	非該当
	9999	無回答
spwkhr10	0	０時間
	1	１時間
	2	２時間
	3	３時間
	4	４時間
	5	５時間
	6	６時間
	7	７時間
	8	８時間
	9	９時間
	10	１０時間
	11	１１時間
	12	１２時間
	13	１３時間
	14	１４時間
	15	１５時間
	16	１６時間
	17	１７時間
	18	１８時間
	19	１９時間
	20	２０時間
	21	２１時間
	22	２２時間
	23	２３時間
	24	２４時間
	8888	非該当
	9999	無回答
spwkmi10	0	０分
	1	１分
	2	２分
	3	３分
	4	４分
	5	５分
	6	６分
	7	７分
	8	８分
	9	９分
	10	１０分
	11	１１分
	12	１２分
	13	１３分
	14	１４分
	15	１５分
	16	１６分
	17	１７分
	18	１８分
	19	１９分
	20	２０分
	21	２１分
	22	２２分
	23	２３分
	24	２４分
	25	２５分
	26	２６分
	27	２７分
	28	２８分
	29	２９分
	30	３０分
	31	３１分
	32	３２分
	33	３３分
	34	３４分
	35	３５分
	36	３６分
	37	３７分
	38	３８分
	39	３９分
	40	４０分
	41	４１分
	42	４２分
	43	４３分
	44	４４分
	45	４５分
	46	４６分
	47	４７分
	48	４８分
	49	４９分
	50	５０分
	51	５１分
	52	５２分
	53	５３分
	54	５４分
	55	５５分
	56	５６分
	57	５７分
	58	５８分
	59	５９分
	8888	非該当
	9999	無回答
spcjb10	1	新しい勤め先に就職・転職した（出向などを含む）
	2	同じ勤め先で、働き方（常時雇用・パートなど）や勤務地が変わっ
	3	そのような変化はない
	8888	非該当
	9999	無回答
spest10	1	経営者・役員
	2	常時雇用されている一般従業者（公務員を含む）
	3	臨時雇い・パート・アルバイト
	4	派遣社員・契約社員・嘱託社員
	5	自営業主・自由業
	6	自営業の家族従業者
	7	内職
	8888	非該当
	9999	無回答
sphlth10	1	たいへん良好
	2	まあ良好
	3	どちらともいえない
	4	やや悪い
	5	たいへん悪い
	8888	非該当
	9999	無回答
spcvwd10	1	０分
	2	３０分未満
	3	３０分～１時間未満
	4	１時間～１時間３０分未満
	5	１時間３０分～２時間未満
	6	２時間～２時間３０分未満
	7	２時間３０分～３時間未満
	8	３時間以上
	8888	非該当
	9999	無回答
spcvwe10	1	０分
	2	３０分未満
	3	３０分～１時間未満
	4	１時間～１時間３０分未満
	5	１時間３０分～２時間未満
	6	２時間～２時間３０分未満
	7	２時間３０分～３時間未満
	8	３時間以上
	8888	非該当
	9999	無回答
spus110	1	あてはまる
	2	どちらかといえばあてはまる
	3	どちらかといえばあてはまらない
	4	あてはまらない
	8888	非該当
	9999	無回答
spus210	1	あてはまる
	2	どちらかといえばあてはまる
	3	どちらかといえばあてはまらない
	4	あてはまらない
	8888	非該当
	9999	無回答
spus310	1	あてはまる
	2	どちらかといえばあてはまる
	3	どちらかといえばあてはまらない
	4	あてはまらない
	8888	非該当
	9999	無回答
rpmtgg10	1	明治
	2	大正
	3	昭和
	4	平成
	8888	非該当
	9999	無回答
rpmtyr10	1	１年
	2	２年
	3	３年
	4	４年
	5	５年
	6	６年
	7	７年
	8	８年
	9	９年
	10	１０年
	11	１１年
	12	１２年
	13	１３年
	14	１４年
	15	１５年
	16	１６年
	17	１７年
	18	１８年
	19	１９年
	20	２０年
	21	２１年
	22	２２年
	23	２３年
	24	２４年
	25	２５年
	26	２６年
	27	２７年
	28	２８年
	29	２９年
	30	３０年
	31	３１年
	32	３２年
	33	３３年
	34	３４年
	35	３５年
	36	３６年
	37	３７年
	38	３８年
	39	３９年
	40	４０年
	41	４１年
	42	４２年
	43	４３年
	44	４４年
	45	４５年
	46	４６年
	47	４７年
	48	４８年
	49	４９年
	50	５０年
	51	５１年
	52	５２年
	53	５３年
	54	５４年
	55	５５年
	56	５６年
	57	５７年
	58	５８年
	59	５９年
	60	６０年
	61	６１年
	62	６２年
	63	６３年
	64	６４年
	8888	非該当
	9999	無回答
rpmtmt10	1	１月
	2	２月
	3	３月
	4	４月
	5	５月
	6	６月
	7	７月
	8	８月
	9	９月
	10	１０月
	11	１１月
	12	１２月
	8888	非該当
	9999	無回答
rpmtag10	1	１歳
	2	２歳
	3	３歳
	4	４歳
	5	５歳
	6	６歳
	7	７歳
	8	８歳
	9	９歳
	10	１０歳
	11	１１歳
	12	１２歳
	13	１３歳
	14	１４歳
	15	１５歳
	16	１６歳
	17	１７歳
	18	１８歳
	19	１９歳
	20	２０歳
	21	２１歳
	22	２２歳
	23	２３歳
	24	２４歳
	25	２５歳
	26	２６歳
	27	２７歳
	28	２８歳
	29	２９歳
	30	３０歳
	31	３１歳
	32	３２歳
	33	３３歳
	34	３４歳
	35	３５歳
	36	３６歳
	37	３７歳
	38	３８歳
	39	３９歳
	40	４０歳
	41	４１歳
	42	４２歳
	43	４３歳
	44	４４歳
	45	４５歳
	46	４６歳
	47	４７歳
	48	４８歳
	49	４９歳
	50	５０歳
	51	５１歳
	52	５２歳
	53	５３歳
	54	５４歳
	55	５５歳
	56	５６歳
	57	５７歳
	58	５８歳
	59	５９歳
	60	６０歳
	61	６１歳
	62	６２歳
	63	６３歳
	64	６４歳
	65	６５歳
	66	６６歳
	67	６７歳
	68	６８歳
	69	６９歳
	70	７０歳
	71	７１歳
	72	７２歳
	73	７３歳
	74	７４歳
	75	７５歳
	76	７６歳
	77	７７歳
	78	７８歳
	79	７９歳
	80	８０歳
	81	８１歳
	82	８２歳
	83	８３歳
	84	８４歳
	85	８５歳
	86	８６歳
	87	８７歳
	88	８８歳
	89	８９歳
	90	９０歳
	91	９１歳
	92	９２歳
	93	９３歳
	94	９４歳
	95	９５歳
	96	９６歳
	97	９７歳
	98	９８歳
	99	９９歳
	100	１００歳
	101	１０１歳
	102	１０２歳
	103	１０３歳
	104	１０４歳
	105	１０５歳
	106	１０６歳
	107	１０７歳
	108	１０８歳
	109	１０９歳
	110	１１０歳
	111	１１１歳
	112	１１２歳
	113	１１３歳
	114	１１４歳
	115	１１５歳
	116	１１６歳
	117	１１７歳
	118	１１８歳
	119	１１９歳
	120	１２０歳
	8888	非該当
	9999	無回答
rpmcju10	0	回答なし
	1	仕事にはついていなかった
	8888	非該当
	9999	無回答
rpmcjq10	0	回答なし
	1	仕事をやめた
	8888	非該当
	9999	無回答
rpmcjb10	0	回答なし
	1	転職した
	8888	非該当
	9999	無回答
rpmcjw10	0	回答なし
	1	同じ職場で業務の形態や職種が変わった
	8888	非該当
	9999	無回答
rpmcjn10	0	回答なし
	1	仕事上の変化はなかった（同じ仕事を続けた）
	8888	非該当
	9999	無回答
rpmcjo10	0	回答なし
	1	その他
	8888	非該当
	9999	無回答
rpwtmr10	1	絶対したい
	2	なるべくしたい
	3	どちらともいえない
	4	あまりしたくない
	5	絶対にしたくない
	8888	非該当
	9999	無回答
rpcpl10	1	現在、婚約者がいる
	2	現在、特定の交際相手がいる
	3	過去に特定の交際相手がいたが、現在はいない
	4	現在も過去も特定の交際相手はいない
	8888	非該当
	9999	無回答
rphhw110	1	ほぼ毎日（週６～７日）
	2	１週間に４～５回
	3	１週間に２～３回
	4	週に１回くらい
	5	ほとんど行わない
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
rphhw210	1	ほぼ毎日（週６～７日）
	2	１週間に４～５回
	3	１週間に２～３回
	4	週に１回くらい
	5	ほとんど行わない
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
rphhw310	1	ほぼ毎日（週６～７日）
	2	１週間に４～５回
	3	１週間に２～３回
	4	週に１回くらい
	5	ほとんど行わない
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
rphhw410	1	ほぼ毎日（週６～７日）
	2	１週間に４～５回
	3	１週間に２～３回
	4	週に１回くらい
	5	ほとんど行わない
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
rphhw510	1	ほぼ毎日（週６～７日）
	2	１週間に４～５回
	3	１週間に２～３回
	4	週に１回くらい
	5	ほとんど行わない
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
sphhw110	1	ほぼ毎日（週６～７日）
	2	１週間に４～５回
	3	１週間に２～３回
	4	週に１回くらい
	5	ほとんど行わない
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
sphhw210	1	ほぼ毎日（週６～７日）
	2	１週間に４～５回
	3	１週間に２～３回
	4	週に１回くらい
	5	ほとんど行わない
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
sphhw310	1	ほぼ毎日（週６～７日）
	2	１週間に４～５回
	3	１週間に２～３回
	4	週に１回くらい
	5	ほとんど行わない
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
sphhw410	1	ほぼ毎日（週６～７日）
	2	１週間に４～５回
	3	１週間に２～３回
	4	週に１回くらい
	5	ほとんど行わない
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
sphhw510	1	ほぼ毎日（週６～７日）
	2	１週間に４～５回
	3	１週間に２～３回
	4	週に１回くらい
	5	ほとんど行わない
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
rpsts110	1	かなり満足
	2	どちらかといえば満足
	3	どちらかといえば不満
	4	かなり不満
	5	子どもはいない
	8888	非該当
	9999	無回答
rpsts210	1	かなり満足
	2	どちらかといえば満足
	3	どちらかといえば不満
	4	かなり不満
	8888	非該当
	9999	無回答
rpsts310	1	かなり満足
	2	どちらかといえば満足
	3	どちらかといえば不満
	4	かなり不満
	8888	非該当
	9999	無回答
rpsts410	1	かなり満足
	2	どちらかといえば満足
	3	どちらかといえば不満
	4	かなり不満
	8888	非該当
	9999	無回答
rpflw110	1	まったくなかった
	2	週に１～２日
	3	週に３～４日
	4	ほとんど毎日
	9999	無回答
rpflw210	1	まったくなかった
	2	週に１～２日
	3	週に３～４日
	4	ほとんど毎日
	9999	無回答
rpflw310	1	まったくなかった
	2	週に１～２日
	3	週に３～４日
	4	ほとんど毎日
	9999	無回答
rpflw410	1	まったくなかった
	2	週に１～２日
	3	週に３～４日
	4	ほとんど毎日
	9999	無回答
rpflw510	1	まったくなかった
	2	週に１～２日
	3	週に３～４日
	4	ほとんど毎日
	9999	無回答
rpflw610	1	まったくなかった
	2	週に１～２日
	3	週に３～４日
	4	ほとんど毎日
	9999	無回答
rpflw710	1	まったくなかった
	2	週に１～２日
	3	週に３～４日
	4	ほとんど毎日
	9999	無回答
rpflw810	1	まったくなかった
	2	週に１～２日
	3	週に３～４日
	4	ほとんど毎日
	9999	無回答
rpflw910	1	まったくなかった
	2	週に１～２日
	3	週に３～４日
	4	ほとんど毎日
	9999	無回答
rpflwa10	1	まったくなかった
	2	週に１～２日
	3	週に３～４日
	4	ほとんど毎日
	9999	無回答
rpflwb10	1	まったくなかった
	2	週に１～２日
	3	週に３～４日
	4	ほとんど毎日
	9999	無回答
rpflwc10	1	まったくなかった
	2	週に１～２日
	3	週に３～４日
	4	ほとんど毎日
	9999	無回答
rpflf110	1	何度もあった
	2	ときどきあった
	3	ごくまれにあった
	4	まったくなかった
	9999	無回答
rpflf210	1	何度もあった
	2	ときどきあった
	3	ごくまれにあった
	4	まったくなかった
	9999	無回答
rpflf310	1	何度もあった
	2	ときどきあった
	3	ごくまれにあった
	4	まったくなかった
	9999	無回答
rphlth10	1	たいへん良好
	2	まあ良好
	3	どちらともいえない
	4	やや悪い
	5	たいへん悪い
	9999	無回答
rpstlt10	1	かなり満足
	2	どちらかといえば満足
	3	どちらかといえば不満
	4	かなり不満
	9999	無回答
rpnlcd10	0	０人
	1	１人
	2	２人
	3	３人
	4	４人
	5	５人
	6	６人
	7	７人
	8	８人
	9	９人
	10	１０人
	11	１１人
	12	１２人
	9999	無回答
c1sex10	1	男性
	2	女性
	8888	非該当
	9999	無回答
c1plc10	1	同じ建物内（玄関も同じ）（w1）
	2	同じ建物内（玄関は別）（w1）
	3	同じ敷地の別棟（w1）
	4	15分未満（w1）
	5	15分～30分未満（w1）
	6	30分～60分未満（w1）
	7	1時間～3時間未満（w1）
	8	3時間以上（w1）
	9	距離は不明だが別居（追加コード）
	11	一緒に暮らしている（w2-5）
	12	60分未満で行ける場所（w2-5）
	13	60分以上かかる場所（w2-5）
	6666	調査設計上の対象外
	7777	調査期間中に死亡
	8888	非該当
	9999	無回答
c1play10	1	ほぼ毎日（週５～７回）
	2	週に３～４回
	3	週に１～２回
	4	月に１～２回
	5	年に数回
	6	まったくない
	8888	非該当
	9999	無回答
c1tch10	1	ほぼ毎日（週５～７回）
	2	週に３～４回
	3	週に１～２回
	4	月に１～２回
	5	年に数回
	6	まったくない
	8888	非該当
	9999	無回答
c1dnr10	1	ほぼ毎日（週５～７回）
	2	週に３～４回
	3	週に１～２回
	4	月に１～２回
	5	年に数回
	6	まったくない
	8888	非該当
	9999	無回答
c1age10	0	０歳
	1	１歳
	2	２歳
	3	３歳
	4	４歳
	5	５歳
	6	６歳
	7	７歳
	8	８歳
	9	９歳
	10	１０歳
	11	１１歳
	12	１２歳
	13	１３歳
	14	１４歳
	15	１５歳
	16	１６歳
	17	１７歳
	18	１８歳
	19	１９歳
	20	２０歳
	21	２１歳
	22	２２歳
	23	２３歳
	24	２４歳
	25	２５歳
	26	２６歳
	27	２７歳
	28	２８歳
	29	２９歳
	30	３０歳
	31	３１歳
	32	３２歳
	33	３３歳
	34	３４歳
	35	３５歳
	36	３６歳
	37	３７歳
	38	３８歳
	39	３９歳
	40	４０歳
	41	４１歳
	42	４２歳
	43	４３歳
	44	４４歳
	45	４５歳
	46	４６歳
	47	４７歳
	48	４８歳
	49	４９歳
	50	５０歳
	51	５１歳
	52	５２歳
	53	５３歳
	54	５４歳
	55	５５歳
	56	５６歳
	57	５７歳
	58	５８歳
	59	５９歳
	60	６０歳
	61	６１歳
	62	６２歳
	63	６３歳
	64	６４歳
	65	６５歳
	66	６６歳
	67	６７歳
	68	６８歳
	69	６９歳
	70	７０歳
	71	７１歳
	72	７２歳
	73	７３歳
	74	７４歳
	75	７５歳
	76	７６歳
	77	７７歳
	78	７８歳
	79	７９歳
	80	８０歳
	81	８１歳
	82	８２歳
	83	８３歳
	84	８４歳
	85	８５歳
	86	８６歳
	87	８７歳
	88	８８歳
	89	８９歳
	90	９０歳
	91	９１歳
	92	９２歳
	93	９３歳
	94	９４歳
	95	９５歳
	96	９６歳
	97	９７歳
	98	９８歳
	99	９９歳
	100	１００歳
	101	１０１歳
	102	１０２歳
	103	１０３歳
	104	１０４歳
	105	１０５歳
	106	１０６歳
	107	１０７歳
	108	１０８歳
	109	１０９歳
	110	１１０歳
	111	１１１歳
	112	１１２歳
	113	１１３歳
	114	１１４歳
	115	１１５歳
	116	１１６歳
	117	１１７歳
	118	１１８歳
	119	１１９歳
	120	１２０歳
	8888	非該当
	9999	無回答
c1lt1810	1	１８歳未満
	2	１８歳以上
	8888	非該当
	9999	無回答
c1hvjb10	1	仕事についている
	2	在学中
	3	無職（主婦を含む）
	6666	調査設計上の対象外
	8888	非該当
	9999	無回答
c1mrst10	1	現在、配偶者がいる
	2	離別した
	3	死別した
	4	結婚したことはない
